step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
80,17,3,cover,17,3,floor,0.0,0.0,0.0,normal,1.0,0.12,,toward_cover
81,18,3,cover,18,3,floor,0.0,0.0,0.0,normal,1.0,0.12148148148148148,,toward_cover
82,19,3,cover,19,3,floor,0.0,0.0,0.0,normal,1.0,0.12296296296296297,,toward_cover
83,20,3,cover,20,3,floor,0.0,0.0,0.0,normal,1.0,0.12444444444444444,,toward_cover
84,21,3,cover,21,3,floor,0.0,0.0,0.0,normal,1.0,0.1259259259259259,,toward_cover
85,22,3,cover,22,3,floor,0.0,0.0,0.0,normal,1.0,0.1274074074074074,,toward_cover
86,23,3,cover,23,3,floor,0.0,0.0,0.0,normal,1.0,0.1288888888888889,,toward_cover
87,24,3,cover,24,3,floor,0.0,0.0,0.0,normal,1.0,0.13037037037037036,,toward_cover
88,25,3,cover,25,3,floor,0.0,0.0,0.0,normal,1.0,0.13185185185185186,,toward_cover
89,26,3,cover,26,3,floor,0.0,0.0,0.0,normal,1.0,0.13333333333333333,,toward_cover
90,27,3,cover,27,3,floor,0.0,0.0,0.0,normal,1.0,0.1348148148148148,,toward_cover
91,28,3,cover,28,3,floor,0.0,0.0,0.0,normal,1.0,0.1362962962962963,,toward_cover
92,29,3,cover,29,3,floor,0.0,0.0,0.0,normal,1.0,0.13777777777777778,,toward_cover
93,30,3,cover,30,3,floor,0.0,0.0,0.0,normal,1.0,0.13925925925925925,,toward_cover
94,31,3,cover,31,3,floor,0.0,0.0,0.0,normal,1.0,0.14074074074074075,,toward_cover
95,32,3,cover,32,3,floor,0.0,0.0,0.0,normal,1.0,0.14222222222222222,,toward_cover
96,33,3,cover,33,3,floor,0.0,0.0,0.0,normal,1.0,0.1437037037037037,,toward_cover
97,34,3,cover,34,3,floor,0.0,0.0,0.0,normal,1.0,0.1451851851851852,,toward_cover
98,34,4,cover,34,4,floor,0.0,0.0,0.0,normal,1.0,0.14666666666666667,,toward_cover
99,33,4,cover,33,4,floor,0.0,0.0,0.0,normal,1.0,0.14814814814814814,,toward_cover
100,32,4,cover,32,4,floor,0.0,0.0,0.0,normal,1.0,0.14962962962962964,,toward_cover
101,31,4,cover,31,4,floor,0.0,0.0,0.0,normal,1.0,0.1511111111111111,,toward_cover
102,30,4,cover,30,4,floor,0.0,0.0,0.0,normal,1.0,0.15259259259259259,,toward_cover
103,29,4,cover,29,4,floor,0.0,0.0,0.0,normal,1.0,0.15407407407407409,,toward_cover
104,28,4,cover,28,4,floor,0.0,0.0,0.0,normal,1.0,0.15555555555555556,,toward_cover
105,27,4,cover,27,4,floor,0.0,0.0,0.0,normal,1.0,0.15703703703703703,,toward_cover
106,26,4,cover,26,4,curtain_soft,0.0,0.0,0.0,cautious,2.0,0.15851851851851853,,toward_cover
107,25,4,cover,25,4,floor,0.0,0.0,0.0,normal,1.0,0.16,,toward_cover
108,24,4,cover,24,4,floor,0.0,0.0,0.0,normal,1.0,0.16148148148148148,,toward_cover
109,23,4,cover,23,4,floor,0.0,0.0,0.0,normal,1.0,0.16296296296296298,,toward_cover
110,22,4,cover,22,4,floor,0.0,0.0,0.0,normal,1.0,0.16444444444444445,,toward_cover
111,21,4,cover,21,4,floor,0.0,0.0,0.0,normal,1.0,0.16592592592592592,,toward_cover
112,20,4,cover,20,4,floor,0.0,0.0,0.0,normal,1.0,0.1674074074074074,,toward_cover
113,19,4,cover,19,4,floor,0.0,0.0,0.0,normal,1.0,0.1688888888888889,,toward_cover
114,18,4,cover,18,4,floor,0.0,0.0,0.0,normal,1.0,0.17037037037037037,,toward_cover
115,17,4,cover,17,4,floor,0.0,0.0,0.0,normal,1.0,0.17185185185185184,,toward_cover
116,16,4,cover,16,4,floor,0.0,0.0,0.0,normal,1.0,0.17333333333333334,,toward_cover
117,15,4,cover,15,4,floor,0.0,0.0,0.0,normal,1.0,0.1748148148148148,,toward_cover
118,14,4,cover,14,4,floor,0.0,0.0,0.0,normal,1.0,0.17629629629629628,,toward_cover
119,13,4,cover,13,4,floor,0.0,0.0,0.0,normal,1.0,0.17777777777777778,,toward_cover
120,12,4,cover,12,4,floor,0.0,0.0,0.0,normal,1.0,0.17925925925925926,,toward_cover
121,11,4,cover,11,4,floor,0.0,0.0,0.0,normal,1.0,0.18074074074074073,,toward_cover
122,10,4,cover,10,4,floor,0.0,0.0,0.0,normal,1.0,0.18222222222222223,,toward_cover
123,9,4,cover,9,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.1837037037037037,,toward_cover
124,8,4,cover,8,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.18518518518518517,,toward_cover
125,7,4,cover,7,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.18666666666666668,,toward_cover
126,6,4,cover,6,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.18814814814814815,,toward_cover
127,5,4,cover,5,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.18962962962962962,,toward_cover
128,4,4,cover,4,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.19111111111111112,,toward_cover
129,3,4,cover,3,4,floor,0.0,0.0,0.0,normal,1.0,0.1925925925925926,,toward_cover
130,2,4,cover,2,4,floor,0.0,0.0,0.0,normal,1.0,0.19407407407407407,,toward_cover
131,2,3,cover,2,3,floor,0.0,0.0,0.0,normal,1.0,0.19555555555555557,,toward_cover
132,1,3,cover,1,3,floor,0.0,0.0,0.0,normal,1.0,0.19703703703703704,,toward_cover
133,1,2,cover,1,2,floor,0.0,0.0,0.0,normal,1.0,0.1985185185185185,,toward_cover
134,1,1,cover,1,1,floor,0.0,0.0,0.0,normal,1.0,0.2,,toward_cover
135,1,2,recover_backtrack,1,3,floor,0.0,0.0,0.0,normal,1.0,0.2,1,backtrack_to_branch_cell
136,1,3,recover_backtrack,1,3,floor,0.0,0.0,0.0,normal,1.0,0.2,1,backtrack_to_branch_cell
137,1,4,recover_branch,1,4,floor,0.0,0.0,0.0,normal,1.0,0.20148148148148148,1,toward_recover_branch
138,1,5,cover,1,5,floor,0.0,0.0,0.0,normal,1.0,0.20296296296296296,1,toward_cover
139,2,5,cover,2,5,floor,0.0,0.0,0.0,normal,1.0,0.20444444444444446,1,toward_cover
140,3,5,cover,3,5,floor,0.0,0.0,0.0,normal,1.0,0.20592592592592593,1,toward_cover
141,4,5,cover,4,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.2074074074074074,1,toward_cover
142,5,5,cover,5,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.2088888888888889,1,toward_cover
143,6,5,cover,6,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.21037037037037037,1,toward_cover
144,7,5,cover,7,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.21185185185185185,1,toward_cover
145,8,5,cover,8,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.21333333333333335,1,toward_cover
146,9,5,cover,9,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.21481481481481482,1,toward_cover
147,10,5,cover,10,5,floor,0.0,0.0,0.0,normal,1.0,0.2162962962962963,1,toward_cover
148,11,5,cover,11,5,floor,0.0,0.0,0.0,normal,1.0,0.21777777777777776,1,toward_cover
149,12,5,cover,12,5,floor,0.0,0.0,0.0,normal,1.0,0.21925925925925926,1,toward_cover
150,13,5,cover,13,5,floor,0.0,0.0,0.0,normal,1.0,0.22074074074074074,1,toward_cover
151,14,5,cover,14,5,floor,0.0,0.0,0.0,normal,1.0,0.2222222222222222,1,toward_cover
152,15,5,cover,15,5,floor,0.0,0.0,0.0,normal,1.0,0.2237037037037037,1,toward_cover
153,16,5,cover,16,5,floor,0.0,0.0,0.0,normal,1.0,0.22518518518518518,1,toward_cover
154,17,5,cover,17,5,floor,0.0,0.0,0.0,normal,1.0,0.22666666666666666,1,toward_cover
155,18,5,cover,18,5,floor,0.0,0.0,0.0,normal,1.0,0.22814814814814816,1,toward_cover
156,19,5,cover,19,5,floor,0.0,0.0,0.0,normal,1.0,0.22962962962962963,1,toward_cover
157,20,5,cover,20,5,floor,0.0,0.0,0.0,normal,1.0,0.2311111111111111,1,toward_cover
158,21,5,cover,21,5,floor,0.0,0.0,0.0,normal,1.0,0.2325925925925926,1,toward_cover
159,22,5,cover,22,5,floor,0.0,0.0,0.0,normal,1.0,0.23407407407407407,1,toward_cover
160,23,5,cover,23,5,floor,0.0,0.0,0.0,normal,1.0,0.23555555555555555,1,toward_cover
161,24,5,cover,24,5,floor,0.0,0.0,0.0,normal,1.0,0.23703703703703705,1,toward_cover
162,25,5,cover,25,5,floor,0.0,0.0,0.0,normal,1.0,0.23851851851851852,1,toward_cover
