step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
87,25,4,cover,25,4,floor,0.0,0.0,0.0,normal,1.0,0.18333333333333332,,toward_cover
88,24,4,cover,24,4,floor,0.0,0.0,0.0,normal,1.0,0.18541666666666667,,toward_cover
89,23,4,cover,23,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.1875,,toward_cover
90,22,4,cover,22,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.18958333333333333,,toward_cover
91,21,4,cover,21,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.19166666666666668,,toward_cover
92,20,4,cover,20,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.19375,,toward_cover
93,19,4,cover,19,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.19583333333333333,,toward_cover
94,18,4,cover,18,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.19791666666666666,,toward_cover
95,17,4,cover,17,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.2,,toward_cover
96,16,4,cover,16,4,carpet,0.0,0.0,0.0,high_cost,1.5,0.20208333333333334,,toward_cover
97,15,4,cover,15,4,floor,0.0,0.0,0.0,normal,1.0,0.20416666666666666,,toward_cover
98,14,4,cover,14,4,floor,0.0,0.0,0.0,normal,1.0,0.20625,,toward_cover
99,13,4,cover,13,4,floor,0.0,0.0,0.0,normal,1.0,0.20833333333333334,,toward_cover
100,12,4,cover,12,4,floor,0.0,0.0,0.0,normal,1.0,0.21041666666666667,,toward_cover
101,11,4,cover,11,4,floor,0.0,0.0,0.0,normal,1.0,0.2125,,toward_cover
102,10,4,cover,10,4,floor,0.0,0.0,0.0,normal,1.0,0.21458333333333332,,toward_cover
103,9,4,cover,9,4,floor,0.0,0.0,0.0,normal,1.0,0.21666666666666667,,toward_cover
104,8,4,cover,8,4,floor,0.0,0.0,0.0,normal,1.0,0.21875,,toward_cover
105,7,4,cover,7,4,floor,0.0,0.0,0.0,normal,1.0,0.22083333333333333,,toward_cover
106,6,4,cover,6,4,floor,0.0,0.0,0.0,normal,1.0,0.22291666666666668,,toward_cover
107,5,4,cover,5,4,floor,0.0,0.0,0.0,normal,1.0,0.225,,toward_cover
108,4,4,cover,4,4,floor,0.0,0.0,0.0,normal,1.0,0.22708333333333333,,toward_cover
109,3,4,cover,3,4,floor,0.0,0.0,0.0,normal,1.0,0.22916666666666666,,toward_cover
110,2,4,cover,2,4,floor,0.0,0.0,0.0,normal,1.0,0.23125,,toward_cover
111,1,4,cover,1,4,floor,0.0,0.0,0.0,normal,1.0,0.23333333333333334,,toward_cover
112,1,5,cover,1,5,floor,0.0,0.0,0.0,normal,1.0,0.23541666666666666,,toward_cover
113,2,5,cover,2,5,floor,0.0,0.0,0.0,normal,1.0,0.2375,,toward_cover
114,3,5,cover,3,5,floor,0.0,0.0,0.0,normal,1.0,0.23958333333333334,,toward_cover
115,4,5,cover,4,5,floor,0.0,0.0,0.0,normal,1.0,0.24166666666666667,,toward_cover
116,5,5,cover,5,5,floor,0.0,0.0,0.0,normal,1.0,0.24375,,toward_cover
117,6,5,cover,6,5,floor,0.0,0.0,0.0,normal,1.0,0.24583333333333332,,toward_cover
118,7,5,cover,7,5,floor,0.0,0.0,0.0,normal,1.0,0.24791666666666667,,toward_cover
119,8,5,cover,8,5,floor,0.0,0.0,0.0,normal,1.0,0.25,,toward_cover
